,caption,i-e,s-n,t-f,j-p
0,Siete años!,1.0,0.0,0.0,1.0
1,"Was dreaming of going to grad school but then life said nah. Nonetheless, let me leave this book here, because I thoroughly enjoyed it and made me miss school even more.",1.0,0.0,0.0,1.0
2,#tulum is the shit!!,1.0,0.0,0.0,1.0
3,#tulum,1.0,0.0,0.0,1.0
4,#tulum,1.0,0.0,0.0,1.0
5,Someone has gone all in on Mexico! It's ok if we get deported to #tulum,1.0,0.0,0.0,1.0
6,#tulum #pijudo,1.0,0.0,0.0,1.0
7,#tulum,1.0,0.0,0.0,1.0
8,#teamdedicatedendurancetraining,1.0,0.0,0.0,1.0
9,"Hair, after 90 minutes in The Corner of Tears.",1.0,0.0,0.0,1.0
10,Is it a sign that it has been too long  between sexual activities that I found this passage of economic theory strangely arousing? #dangersoftheory #inactivesexlife,1.0,0.0,0.0,1.0
11,Carlitos helping with the soup prep. #pigeonsofinstagram,1.0,0.0,0.0,1.0
12,Awesome things Camilo draws for me :),1.0,0.0,0.0,1.0
13,I miss Camilo 😭😭😭😭 #marscycles,1.0,0.0,0.0,1.0
14,From km 7 onwards visibility was only a couple of meters. #seymour #cyclinginvancouver is the shit!!,1.0,0.0,0.0,1.0
15,Bye #vancouver 😭😭😭,1.0,0.0,0.0,1.0
16,Camilo & his doodles,1.0,0.0,0.0,1.0
17,Hump day amirite?,1.0,0.0,0.0,1.0
18,Did someone say #newkitday #messkollective,1.0,0.0,0.0,1.0
19,That ride tho. #dedicatedendurancetraining,1.0,0.0,0.0,1.0
20,"38 years ago we defied the odds and freed ourselves from the US imposed dictator who does not deserve to be named.  Poor, and with antiquated weapons; weapons that were more joke than weapons, we took on the rabid chicken parading itself as an eagle and won. La revolución es para siempre. #muertealimperio Viva Nicaragua libre. #cardenal #poesía #zerohour #nochesdeflordecaña",1.0,0.0,0.0,1.0
21,#waybackwednesday our first selfie!,1.0,0.0,0.0,1.0
22,"How fucking good is this film?! ""You cannot lynch me, & keep me in ghettos, without becoming something monstrous yourselves; and furthermore, you give me a terrifying advantage, you never had to look at me, I had to look at you. I know more about you than you know about me.""",1.0,0.0,0.0,1.0
