,Media,I-E,S-N,T-F,J-P
0,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2017-08-01_01-06-17_UTC.jpg,0,1,1,0
1,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-03-11_10-10-10_UTC_1.jpg,0,1,1,0
2,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-05-08_23-14-45_UTC.jpg,0,1,1,0
3,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-05-15_10-53-23_UTC_1.jpg,0,1,1,0
4,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-08-08_03-50-30_UTC_1.jpg,0,1,1,0
5,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-08-20_11-41-20_UTC.jpg,0,1,1,0
6,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-11-07_04-26-37_UTC_1.jpg,0,1,1,0
7,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2022-12-17_06-03-30_UTC_1.jpg,0,1,1,0
8,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2023-01-17_02-16-19_UTC_1.jpg,0,1,1,0
9,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2023-01-21_07-56-05_UTC_1.jpg,0,1,1,0
10,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2023-02-07_02-02-12_UTC_1.jpg,0,1,1,0
11,/content/drive/MyDrive/PFA/DATASET/Data/ymtk/2023-03-08_02-43-09_UTC_1.jpg,0,1,1,0
12,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-10_02-06-08_UTC.jpg,0,0,0,0
13,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-10_20-04-21_UTC.jpg,0,0,0,0
14,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-12_23-30-48_UTC.jpg,0,0,0,0
15,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-13_00-01-37_UTC.jpg,0,0,0,0
16,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-13_00-32-45_UTC.jpg,0,0,0,0
17,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-04-15_14-01-27_UTC.jpg,0,0,0,0
18,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-05-05_21-10-45_UTC.jpg,0,0,0,0
19,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-05-07_01-45-08_UTC.jpg,0,0,0,0
20,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-05-07_01-51-09_UTC.jpg,0,0,0,0
21,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-05-18_23-19-55_UTC.jpg,0,0,0,0
22,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-05-21_02-17-50_UTC.jpg,0,0,0,0
23,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-03_20-22-00_UTC.jpg,0,0,0,0
24,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-03_22-45-25_UTC_1.jpg,0,0,0,0
25,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-08_18-59-54_UTC.jpg,0,0,0,0
26,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-09_15-48-22_UTC.jpg,0,0,0,0
27,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-11_22-06-28_UTC.jpg,0,0,0,0
28,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-22_19-56-37_UTC.jpg,0,0,0,0
29,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-06-22_21-41-40_UTC.jpg,0,0,0,0
30,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-07-04_19-26-40_UTC.jpg,0,0,0,0
31,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-07-08_19-54-02_UTC.jpg,0,0,0,0
32,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-07-18_18-23-48_UTC.jpg,0,0,0,0
33,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-07-30_13-38-00_UTC.jpg,0,0,0,0
34,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-07-30_15-58-53_UTC.jpg,0,0,0,0
35,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-01_18-51-04_UTC.jpg,0,0,0,0
36,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-03_03-28-27_UTC.jpg,0,0,0,0
37,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-15_12-12-24_UTC.jpg,0,0,0,0
38,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-19_01-49-32_UTC.jpg,0,0,0,0
39,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-19_02-08-09_UTC.jpg,0,0,0,0
40,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-20_23-12-51_UTC.jpg,0,0,0,0
41,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-27_19-22-29_UTC.jpg,0,0,0,0
42,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-08-27_19-26-30_UTC.jpg,0,0,0,0
43,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-09-01_20-08-26_UTC.jpg,0,0,0,0
44,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-09-11_01-46-36_UTC.jpg,0,0,0,0
45,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-09-12_00-05-53_UTC_1.jpg,0,0,0,0
46,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-09-30_22-00-05_UTC.jpg,0,0,0,0
47,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-10-25_17-17-53_UTC.jpg,0,0,0,0
48,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-10-28_19-58-58_UTC.jpg,0,0,0,0
49,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-10-29_16-23-20_UTC.jpg,0,0,0,0
50,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-10-29_22-53-22_UTC.jpg,0,0,0,0
51,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-05_22-29-33_UTC.jpg,0,0,0,0
52,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-07_22-12-24_UTC.jpg,0,0,0,0
53,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-12_08-20-30_UTC.jpg,0,0,0,0
54,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-12_12-12-09_UTC.jpg,0,0,0,0
55,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-13_02-38-53_UTC_1.jpg,0,0,0,0
56,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-17_20-31-28_UTC.jpg,0,0,0,0
57,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-20_21-44-45_UTC.jpg,0,0,0,0
58,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-11-30_19-02-45_UTC.jpg,0,0,0,0
59,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-12_21-53-06_UTC.jpg,0,0,0,0
60,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-13_14-47-32_UTC.jpg,0,0,0,0
61,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-16_04-48-57_UTC.jpg,0,0,0,0
62,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-17_00-29-17_UTC.jpg,0,0,0,0
63,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-20_20-23-16_UTC.jpg,0,0,0,0
64,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-23_10-28-22_UTC.jpg,0,0,0,0
65,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-24_18-14-38_UTC_1.jpg,0,0,0,0
66,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-25_18-25-35_UTC.jpg,0,0,0,0
67,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-27_23-50-49_UTC.jpg,0,0,0,0
68,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2017-12-31_20-12-05_UTC.jpg,0,0,0,0
69,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-01-02_13-55-44_UTC.jpg,0,0,0,0
70,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-01-11_22-40-50_UTC.jpg,0,0,0,0
71,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-01-17_20-17-37_UTC.jpg,0,0,0,0
72,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-01-18_17-01-51_UTC.jpg,0,0,0,0
73,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-01-25_14-28-43_UTC.jpg,0,0,0,0
74,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-05_02-00-16_UTC.jpg,0,0,0,0
75,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-05_03-23-38_UTC.jpg,0,0,0,0
76,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-06_03-18-00_UTC.jpg,0,0,0,0
77,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-06_03-20-48_UTC.jpg,0,0,0,0
78,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-21_21-39-42_UTC.jpg,0,0,0,0
79,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-22_00-52-36_UTC_1.jpg,0,0,0,0
80,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-02-22_14-28-55_UTC_1.jpg,0,0,0,0
81,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-05_00-45-30_UTC.jpg,0,0,0,0
82,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-06_01-05-28_UTC.jpg,0,0,0,0
83,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-06_18-35-39_UTC_1.jpg,0,0,0,0
84,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-09_22-49-45_UTC.jpg,0,0,0,0
85,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-11_17-13-20_UTC_1.jpg,0,0,0,0
86,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-13_00-58-31_UTC.jpg,0,0,0,0
87,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-22_14-29-52_UTC.jpg,0,0,0,0
88,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-26_20-18-00_UTC.jpg,0,0,0,0
89,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-27_17-34-20_UTC.jpg,0,0,0,0
90,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-28_19-09-12_UTC.jpg,0,0,0,0
91,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-30_16-14-41_UTC.jpg,0,0,0,0
92,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-03-31_23-09-36_UTC.jpg,0,0,0,0
93,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-04-01_12-57-22_UTC.jpg,0,0,0,0
94,/content/drive/MyDrive/PFA/DATASET/Data/luisgomezt/2018-04-01_21-42-55_UTC.jpg,0,0,0,0
