,Media,I-E,S-N,T-F,J-P
0,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-05_07-08-49_UTC.jpg,0,0,0,0
1,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-05_11-38-02_UTC_1.jpg,0,0,0,0
2,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-05_15-05-35_UTC.jpg,0,0,0,0
3,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-07_13-12-17_UTC.jpg,0,0,0,0
4,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-10_11-58-41_UTC.jpg,0,0,0,0
5,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-20_11-13-43_UTC.jpg,0,0,0,0
6,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-04-30_16-22-06_UTC.jpg,0,0,0,0
7,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-05-23_05-10-08_UTC.jpg,0,0,0,0
8,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-05-29_02-09-24_UTC.jpg,0,0,0,0
9,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-05-29_05-00-00_UTC.jpg,0,0,0,0
10,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-05-29_11-21-51_UTC.jpg,0,0,0,0
11,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-06-04_08-02-07_UTC.jpg,0,0,0,0
12,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-06-27_10-12-01_UTC.jpg,0,0,0,0
13,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-06-27_15-12-01_UTC.jpg,0,0,0,0
14,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-06-30_14-36-50_UTC.jpg,0,0,0,0
15,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-06_05-26-21_UTC.jpg,0,0,0,0
16,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-10_10-26-46_UTC.jpg,0,0,0,0
17,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-11_11-12-18_UTC_1.jpg,0,0,0,0
18,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-17_06-38-22_UTC.jpg,0,0,0,0
19,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-26_04-06-22_UTC.jpg,0,0,0,0
20,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-07-29_15-04-27_UTC.jpg,0,0,0,0
21,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-08_09-06-48_UTC.jpg,0,0,0,0
22,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-09_17-48-04_UTC.jpg,0,0,0,0
23,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-16_05-25-02_UTC.jpg,0,0,0,0
24,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-19_03-06-18_UTC.jpg,0,0,0,0
25,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-20_07-20-57_UTC.jpg,0,0,0,0
26,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-22_13-10-01_UTC.jpg,0,0,0,0
27,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-25_07-54-49_UTC.jpg,0,0,0,0
28,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-31_14-44-41_UTC.jpg,0,0,0,0
29,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-08-31_15-36-13_UTC.jpg,0,0,0,0
30,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-09-07_15-08-00_UTC.jpg,0,0,0,0
31,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-09-19_09-13-21_UTC.jpg,0,0,0,0
32,/content/drive/MyDrive/PFA/DATASET/Data/yosshi1202/2020-09-21_23-52-38_UTC.jpg,0,0,0,0
