,Media,I-E,S-N,T-F,J-P
0,/content/drive/MyDrive/PFA/DATASET/Data/dantederycke/2017-08-13_10-51-47_UTC.jpg,1,1,1,0
1,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-01_07-25-42_UTC.jpg,1,0,0,1
2,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-01_09-50-10_UTC.jpg,1,0,0,1
3,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-06_08-38-21_UTC.jpg,1,0,0,1
4,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-10_15-22-34_UTC.jpg,1,0,0,1
5,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-16_11-29-06_UTC.jpg,1,0,0,1
6,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-04-25_14-42-35_UTC.jpg,1,0,0,1
7,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-02_11-41-26_UTC.jpg,1,0,0,1
8,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-03_09-11-59_UTC.jpg,1,0,0,1
9,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-07_10-59-56_UTC.jpg,1,0,0,1
10,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-09_05-11-47_UTC.jpg,1,0,0,1
11,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-09_14-51-27_UTC.jpg,1,0,0,1
12,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-10_08-27-46_UTC.jpg,1,0,0,1
13,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-11_04-35-42_UTC.jpg,1,0,0,1
14,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-16_09-29-10_UTC.jpg,1,0,0,1
15,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-19_15-44-18_UTC.jpg,1,0,0,1
16,/content/drive/MyDrive/PFA/DATASET/Data/kurtzchong/2017-05-22_02-21-27_UTC_1.jpg,1,0,0,1
