,caption,I-E,S-N,T-F,J-P
0,backcountry trail 4days hikingcamping with 4kids and a baby beautiful mt albert edward from the trail mtalbertedward mountalbertedward backcountry britishcolumbia vancouverisland campingwithkids canada explorecanada britishcolumbia,0,1,1,0
1,hakuba landscape mountain mountains skitrip,0,1,1,0
2,mountains river explorejapan landscape,0,1,1,0
3,canoe canoecamping canoeingwithdogs canoeingwithkids oldtowncanoe explorejapan japantravel japantrip downriver camping msr montbell patagonia camping,0,1,1,0
4,mtfujistanding proudly in the distance from the nothern alps mttsubakuro hike northernalps japanesealps hikewithkids nagano mtfuji,0,1,1,0
5,canoe canoecamping sunset watersurface refrection lake canoeing,0,1,1,0
6,hiking autumnhike mountainphotography autumninjapan,0,1,1,0
7,short trip,0,1,1,0
8,okinawa okinawatrip okinawajapan diving travelwithkids,0,1,1,0
9,whaleshark mantarays okinawa okinawachuraumiaquarium marinecreatures japan aquarium backyardtour,0,1,1,0
10,its not the mistakes that define you its not how you fall its how you get back up getbackup ski skiing skiwithkids,0,1,1,0
11,canoe camping music celebration by alexander nakarada,0,1,1,0
12,sin palabras,0,0,0,0
13,eso s que se contagia wildlife,0,0,0,0
14,el nuevo saln de juegos makeithappen,0,0,0,0
15,aqu si te dan litros de a litro gasolinazo estadehuevos,0,0,0,0
16,leaving the worst behind,0,0,0,0
17,mis pies dicen que no yo digo que si vamos a recorrer caminosironmanintraining makeithappen,0,0,0,0
18,y solo la prob viernesalfin cervezaartesanal,0,0,0,0
19,tembl de miedo y cerraron pueblosmagicos paseandoando,0,0,0,0
20,uva viedos,0,0,0,0
21,se me acumul la chamba,0,0,0,0
22,enojado estoy muy enojado mimejoramigo,0,0,0,0
23,me subo o no me subo esa es la cuestin ducatiscrambler boytoys bikelife,0,0,0,0
24,de foto de concurso a mueco de nieve quieroserniootravez,0,0,0,0
25,home alone lets cook hungrylikeawolf thirsty,0,0,0,0
26,viernes de dos ruedasducatiscrambler riddingsolo locuras,0,0,0,0
27,ella de cabeza como todos nosotros,0,0,0,0
28,mi cumpleaera como pasan los aos obvio en ella produdad papaenamorado festejandoando,0,0,0,0
29,what a crew happy birthday losenanosyacrecieron,0,0,0,0
30,ndale si andabas de colado obvio hablo de l presidenciableando presidente locuras primerdamo20182024,0,0,0,0
31,enamorado carporn musclecars cobra shelby iminlove,0,0,0,0
32,de las primeras 5 sugerencias no se me antoja ninguna trotamundos ginebras yaesviernes,0,0,0,0
33,insisto en que el mayor regalo de mi vida son ellas papaenamorado lasamo bebas,0,0,0,0
34,que bello es mi mexico hacienda mexico paseando viajes,0,0,0,0
35,summer menwithstreetstyle luminor panerai businessmeeting,0,0,0,0
36,tres grandes mujeres una es mi madre y las otras dos tambin suertudo amoamimadre viajando,0,0,0,0
37,lifes a risk carnal urbanart artporn running cdmx,0,0,0,0
38,paseando en viernes con mi bebe papaenamorado papaehija safari iminlove,0,0,0,0
39,la atacaban los primates lemour safari papaenamorado,0,0,0,0
40,que buen arrimon skydivecuautla skydiving vuelaalto otrams,0,0,0,0
41,maratoncdmx otrarayaaltigre mecostosangre ironmantri ironman,0,0,0,0
42,corriendo uno conoce mejor la cdmx maratoncdmx dueletodo,0,0,0,0
43,la ms profunda reflexin jams vista dalai viernes,0,0,0,0
44,finalmente lleg la temporada e iniciamos ganando gocowboys cowboysnation,0,0,0,0
45,cre haberlo visto o manejado todo hasta que prob este animal salvaje lo dems son tonteras nissangtr gtr porncar ohmidios gtrnismo iminlove,0,0,0,0
46,estrenando jersey aunque el partido es maana ya lo s dallascowboys cowboysnation cowboys futurechamps,0,0,0,0
47,cuando le preguntas a tu hija como va su da y te responde con esta foto solo puedes sentir orgullo papaenamorado soproudofmygirls eslomaximo comisiones derechoshumanos,0,0,0,0
48,gran premio si estar con ella aqu dadilove soproud f1mexico granpremiodemexico,0,0,0,0
49,pocas cosas son tan adictivas como el sonido de estas mquinas y el olor a llanta quemada granpremiodemexico f1 mexico hacemosequipoconcheco,0,0,0,0
50,y pues ya nos vamoshamilton championoftheworld hastaelotroao mercedesamg,0,0,0,0
51,un anchojito o mojiancho ms un gavilan reyes ms un ponche oaxaqueo igual a fuerzamexico barra57 anchoreyes montelobos montelobosmezcal mercadoroma,0,0,0,0
52,no mams me mor y ni cuenta me di paraloquemegustachupopoco fiesta vamonosdevagos,0,0,0,0
53,cuando 300 aos parecen pocos amate mezcal guerrero mexicolors,0,0,0,0
54,colores del mezcal el amor y el mezcal te ponen mgico y ahora para saber qu fue mezcal mexicomezcaltour amoelmezcal agave,0,0,0,0
55,mxico increble jardinesdemexico paseando,0,0,0,0
56,miren nada ms lo que me encontr hace casi 5 aos se graduaba de la prepa mi beba mayor papaenamorado prouddad orgullosodeti,0,0,0,0
57,don goyo haciendo de las suyas popocatepetl volcan mexicomagico visitamexico,0,0,0,0
58,ya llego mi jersey laetapacdmx tourdefrance cibanco 103,0,0,0,0
59,toro plazamexico corridadetoros ol guadalupana,0,0,0,0
60,los 8 grandes plazamexico fuerzamexico toro ol,0,0,0,0
61,llegar a abrir tu cava y el mensaje de tu bebe es pap nos llevamos t champoo es una de dos o van a trabajar duro por esos gustos o tengo que hacerlo yo papaenamorado lasamo,0,0,0,0
62,es un avin es un cohete no es mi spidergirl lamexicana parque,0,0,0,0
63,a mi me gusto an cuando me dejo un sabor agridulce el circo da para ms 7modia sodaestereo circdusoleil,0,0,0,0
64,she is the one who stole my champagne but she first stole my heart soproud daddysgirl dadinlove,0,0,0,0
65,feliz navidad mifamilia navidad2017 santaclaus,0,0,0,0
66,fishers es una sucursal del cielo en la tierra lascrudasnosecuranconhipocrecias fishers navidad,0,0,0,0
67,el sol ilumina la sonrisa lamaspequea devago,0,0,0,0
68,as terminamos el ao juntos felizaonuevo sonrisa mehacenfaltalasdemas,0,0,0,0
69,la del abrazo de ao nuevo fiesta lamaspequedelacasa recibiendoel2018,0,0,0,0
