,caption,I-E,S-N,T-F,J-P
0,sakura sakura2020,0,0,0,0
1,hhkb hhkb mercari happyhackingkeyboard,0,0,0,0
3,cat,0,0,0,0
5,kojimaproductions deathstranding australia,0,0,0,0
6,neko cat nekostagram,0,0,0,0
8,ucc,0,0,0,0
9,blueimpulse,0,0,0,0
10,blueimpulse,0,0,0,0
17,nintendo,0,0,0,0
19,skytree,0,0,0,0
22,n700s n700a,0,0,0,0
23,penguin,0,0,0,0
24,ramen,0,0,0,0
25,curryrice,0,0,0,0
26,jellyfish,0,0,0,0
27,skytree,0,0,0,0
29,2017121 applewatch activity movegoal,0,0,0,0
30,disney disneysea,0,0,0,0
31,apple watch watchos7 applewatch watchos7,0,0,0,0
33,series 6 series4 applewatch,0,0,0,0
34,cat,0,0,0,0
35,ginza,0,0,0,0
36,ramen,0,0,0,0
40,skytree tokyo,0,0,0,0
42,2 cars2,0,0,0,0
47,komedais komeda soy,0,0,0,0
48,dry,0,0,0,0
51,eg,0,0,0,0
52,30 entrygrade eg,0,0,0,0
53,skytree,0,0,0,0
55,f,0,0,0,0
57,sagawa bicycle,0,0,0,0
58,sano,0,0,0,0
60,ramen,0,0,0,0
65,6500 6500 tokyo,0,0,0,0
66,6500 6500,0,0,0,0
69,specialized,0,0,0,0
71,5 blueimpulse,0,0,0,0
73,tokyo,0,0,0,0
76,tokyo 2020 zonda 23c25c specialized zonda tokyo2020 kasairinkaipark panaracer,0,0,0,0
77,blueimpulse tokyo2020 paralympics2020,0,0,0,0
78,ramen akihabara akiba,0,0,0,0
79,1400ml30 akihabara,0,0,0,0
80,tokyo2020 blueimpulse,0,0,0,0
81,starbucks,0,0,0,0
82,3 3323 pokemon,0,0,0,0
83,komeda,0,0,0,0
86,2,0,0,0,0
87,deathsource sudden,0,0,0,0
89,entrygradegundam gundam rx78,0,0,0,0
92,disneysea,0,0,0,0
97,jal,0,0,0,0
98,peterluger ebisu steak,0,0,0,0
99,jcb,0,0,0,0
100,bluetooth sony srsxb23,0,0,0,0
101,sushi,0,0,0,0
102,my new gear final ze3000,0,0,0,0
103,springhascome 2022 spring sakura cherryblossom tokyo,0,0,0,0
104,2,0,0,0,0
106,30,0,0,0,0
108,gw,0,0,0,0
109,pokemon,0,0,0,0
111,apple watch applewatch,0,0,0,0
112,level 5,0,0,0,0
113,100 allstar100 100 goretex,0,0,0,0
114,2,0,0,0,0
115,4 3,0,0,0,0
116,1,0,0,0,0
117,2022 moon 20221108,0,0,0,0
121,applewatch applewatch,0,0,0,0
124,asics gellyte3 sneakers,0,0,0,0
125,its a sony,0,0,0,0
130,apple watch applewatch apple,0,0,0,0
132,applewatch,0,0,0,0
133,applewatch,0,0,0,0
135,google,0,0,0,0
136,workerholic,0,0,0,0
137,seppuku,0,0,0,0
139,catch me if you can cat mainecoon,0,0,0,0
140,finalruntoei shinjukuline subway,0,0,0,0
141,mainecoon,0,0,0,0
147,mainecoon,0,0,0,0
152,realforce hhkb oem realforce87u hhkb realforce,0,0,0,0
156,iij ipv6 iphone,0,0,0,0
158,lightroom,0,0,0,0
159,lightroom,0,0,0,0
160,lightroom,0,0,0,0
161,lightroom,0,0,0,0
162,iphone lightroom,0,0,0,0
165,ginzasix,0,0,0,0
166,ginzasix lightroom,0,0,0,0
167,lightroom,0,0,0,0
170,lightroom,0,0,0,0
171,mainecoon,0,0,0,0
172,mainecoon maincooncat pero,0,0,0,0
174,ff,0,0,0,0
176,cancan led,0,0,0,0
180,1000g 1000g,0,0,0,0
188,windows10 pc,0,0,0,0
189,windows10,0,0,0,0
190,akihabara,0,0,0,0
197,infobar infobar transformers,0,0,0,0
201,newrelic,0,0,0,0
203,procam5 procam5 rain,0,0,0,0
204,ginza,0,0,0,0
208,telephone japan tokyo,0,0,0,0
210,iphone w iphone7plus iphone,0,0,0,0
212,cat mainecoon,0,0,0,0
222,cat,0,0,0,0
226,cat mainecoon,0,0,0,0
229,selfissimo,0,0,0,0
232,lightroom toebeans paws,0,0,0,0
233,kanban,0,0,0,0
234,bus busstop tokyo lightroom,0,0,0,0
235,mainecoon cat,0,0,0,0
236,ginza,0,0,0,0
237,train,0,0,0,0
238,mainecoon iphonex,0,0,0,0
240,ginza six ginzasix,0,0,0,0
242,iphonex,0,0,0,0
243,iphonex monochrome,0,0,0,0
244,kingsman goldencircle,0,0,0,0
245,3,0,0,0,0
246,iphone iphone iphone docomo,0,0,0,0
247,2018 applewatch activity,0,0,0,0
249,tokyosnow snow,0,0,0,0
250,mainecoon,0,0,0,0
251,ginza,0,0,0,0
254,pentax,0,0,0,0
256,yodobashi akihabara tokyo,0,0,0,0
257,skytree lightroom adobelightroom iphonex,0,0,0,0
258,curry tsukiji,0,0,0,0
260,mainecoon,0,0,0,0
263,5,0,0,0,0
269,skytree,0,0,0,0
271,ginza,0,0,0,0
275,vivid,0,0,0,0
276,iphone hdr adobe lightroom cat,0,0,0,0
277,iphone lightroom godzilla,0,0,0,0
282,1km carryme carryme,0,0,0,0
284,ginza,0,0,0,0
286,gigamax,0,0,0,0
288,77,0,0,0,0
289,apple store apple wall ginza,0,0,0,0
290,ginza hermes,0,0,0,0
294,red sunset ginza tsukiji,0,0,0,0
295,temple tsukiji,0,0,0,0
299,thunder,0,0,0,0
300,go pokmon,0,0,0,0
301,c3po ana c3po starwars naha airport ana,0,0,0,0
302,asakusaline,0,0,0,0
303,tgs2018,0,0,0,0
304,apple iphonexs ginza,0,0,0,0
307,rx8 rx8,0,0,0,0
309,hotel ginza,0,0,0,0
310,applewatch watchface,0,0,0,0
311,cat,0,0,0,0
313,cat,0,0,0,0
318,pixel3 pixel3,0,0,0,0
320,godzilla pixel3,0,0,0,0
323,lightroom cat catstagram,0,0,0,0
329,sumo ryogoku,0,0,0,0
331,3 bongen ginza coffee,0,0,0,0
335,360google google streetview camera 360,0,0,0,0
336,9913 nintendoswitch tetris99 tetris,0,0,0,0
337,hokkaido tomamu ikura sushi,0,0,0,0
338,boss,0,0,0,0
