,caption,I-E,S-N,T-F,J-P
0,break,1,1,1,0
1,yummy,1,0,0,1
2,homemade bamboo chicken,1,0,0,1
3,day trip to tamparuli sabah tamparuli sabahpotd daytrip bridge drawbridge pontlevis,1,0,0,1
6,what a day sky clouds cloudporn sunalmostset construction hotweather,1,0,0,1
7,a nice place for jogging park jogging perdanapark sabahpotd lake reflection,1,0,0,1
8,bubbles play,1,0,0,1
9,wesakday,1,0,0,1
11,go straight to heaven,1,0,0,1
12,love is in the air,1,0,0,1
13,wantneed,1,0,0,1
14,necessary devices,1,0,0,1
15,beautiful town,1,0,0,1
17,bloom,1,0,0,1
18,i will be back,1,0,0,1
19,and yet still my favourite streetphotography blackandwhite streetperformer,1,0,0,1
20,my peter pan,1,0,0,1
21,my son requested me to make a turtle for him well voil beach sand turtle,1,0,0,1
23,mocha octobercafe instafood kkfood,1,0,0,1
24,i created this filter with polarr app nice i love this lomo feel,1,0,0,1
26,it is hard to find a place more relax than relaxcoffeecafe,1,0,0,1
27,where are u mr batman,1,0,0,1
29,one last time sunset evening clouds imgoinghome,1,0,0,1
31,yummy instafood kkfood localguides ongooglemaps,1,0,0,1
32,i love my new wallpaper i want to go far away wallpaper,1,0,0,1
33,instafood kkfood localguides ongooglemaps,1,0,0,1
34,belgium waffle yum yum instafood kkfood localguides ongooglemaps,1,0,0,1
35,oasis in a city,1,0,0,1
36,an art is an art respect,1,0,0,1
37,so so instafood kkfood,1,0,0,1
38,flickr test run highlands teafarm,1,0,0,1
39,no matter how beautiful the sunset is tomorrow always come photo credit to grckok flickr vsco vscofilter,1,0,0,1
41,just another sunset shotoniphone,1,0,0,1
42,shotoniphone flickr,1,0,0,1
43,hohoho live love eat,1,0,0,1
45,strawberry,1,0,0,1
46,cactus shotoniphone flickr,1,0,0,1
47,good morning malaysiaday,1,0,0,1
48,breakfast kkfood instafood,1,0,0,1
50,look further n moving forward,1,0,0,1
53,watamidoin music spotify queensofthestoneage,1,0,0,1
54,nirvana iloverocknroll,1,0,0,1
55,treemonkcoffeeroasters cafe kotakinabalu,1,0,0,1
56,try out something new,1,0,0,1
57,hold,1,0,0,1
58,salt egg fish baby cinno instafood kkfood foodporn,1,0,0,1
60,weekend activity,1,0,0,1
61,whatever you do ill be two steps behind you wherever you go and ill be there to remind you that it only takes a minute of your precious time to turn around and ill be two steps behind def leppard kotakinabalu sabahpotd sunset,1,0,0,1
62,good morning world sunrise sunrays morning,1,0,0,1
63,by,1,0,0,1
64,shadowplay morning shotoniphone,1,0,0,1
65,irresistible sunset kotakinabalu sabahtourism sabahpotd tanjungarubeach sunset ilovesabah skyporn cloudporn beach,1,0,0,1
66,friday kotakinabalu windy cloudy tgif,1,0,0,1
67,focus on the line bnw,1,0,0,1
68,nothing better than a handcrafted with heard ice mocha kkfood instafood icemocha,1,0,0,1
69,nov 20 cloudy,1,0,0,1
70,my off day,1,0,0,1
71,breakfast kkfood instafood foodporn,1,0,0,1
72,rm5 instafood kkfood foodporn,1,0,0,1
73,blue is the warmest color,1,0,0,1
74,simple w nofilter shotoniphone iphone6,1,0,0,1
75,shopping season fosmalaysia,1,0,0,1
77,sit back and relax,1,0,0,1
78,instafood foodporn,1,0,0,1
79,fisherman,1,0,0,1
81,a lost world nophotoshop bnw bnwphotography blackandwhite pinhole shotoniphone theblackandwhiteseries,1,0,0,1
82,kuching,1,0,0,1
83,kuching,1,0,0,1
84,on the way to airport while raining feel like enter a sadness zone rainingdayneversaygoodbye,1,0,0,1
85,before pressing the shutter i already know this is absolute one of my favorite happy new year 2018 to all my friends hope u achieved your goal in this challenging year 2017 flickr squaretower kuching waterfront cloudporn potd kuchingwaterfront,1,0,0,1
87,relax flickr potd clouds cloudporn river kuching sarawak astana shotoniphone,1,0,0,1
88,if you do not do what youre told to do when youre told to do it you will be punished do you understand aye sir if you leave my base without proper authorization i will hunt you down and throw your ass in jail do you understand aye sir i cant hear you aye sir scream it aye sir your ass belongs to me now aye sir drill sergeant by muse,1,0,0,1
89,good morning today gonna be a hot hot day,1,0,0,1
90,i said rock n roll is living in my blood shotoniphone theblackandwhiteseries,1,0,0,1
91,weathertoday,1,0,0,1
93,i like to wish you good luck but i cant,1,0,0,1
94,positive thinking i need to look at the whole picture forget about that little tiny blur part,1,0,0,1
95,polarr shotoniphone,1,0,0,1
96,taekwondo doublepunch,1,0,0,1
97,3cd marilynmanson holywood,1,0,0,1
98,by,1,0,0,1
99,cheap and fast,1,0,0,1
102,sit back and relax,1,0,0,1
104,guess where tips mcdonalds kfc shell,1,0,0,1
105,32 degree celsius,1,0,0,1
106,too much edit but i like it shotoniphone iphoneonly,1,0,0,1
107,hello my friend i miss you kkfood instafood foodporn rm5 noodles,1,0,0,1
108,this morning morning sunrise shadow,1,0,0,1
110,never tried never know,1,0,0,1
113,peak hours weekend,1,0,0,1
114,dayoff,1,0,0,1
115,i love my new watch thanks dear fossilq,1,0,0,1
116,tourists life kuching,1,0,0,1
117,i have no idea dont ask me why,1,0,0,1
118,by,1,0,0,1
119,kkfood chickenrice,1,0,0,1
120,2007 kota kinabalu kotakinabalu sabahpotd nightview sabahtourism flickr,1,0,0,1
121,2009 puchong puchong nightview flickr potd canon450d,1,0,0,1
122,hey big guy the sun go really low sunset kotakinabalu,1,0,0,1
123,life,1,0,0,1
124,tamu,1,0,0,1
125,reedited dark version our dream of field me and my son,1,0,0,1
126,reedited practice makes perfecto shotoniphone kotakinabalu kokolhill mtkinabalu mountkinabalu sabahpotd sabahtourism afterearthquake 2015 flickr sabahtourism,1,0,0,1
127,ft laksa kkfood instafood foodporn foodphotography beeflaksa,1,0,0,1
128,kotakinabalu flickr sabahtourism,1,0,0,1
129,endless work in progress,1,0,0,1
131,curry pork noodle kkfood,1,0,0,1
132,im worried but i see hope kuching flickr hope,1,0,0,1
133,kotakinabalu sabah flickr sunset ge14,1,0,0,1
135,i promise dear i will come home tonight hopefully,1,0,0,1
136,kotakinabalu cloud green flickr,1,0,0,1
137,random,1,0,0,1
138,chasing dream,1,0,0,1
140,grandma grandsons grandma grandsons thehomeseries shotoniphone,1,0,0,1
141,double rainbow double pleasure,1,0,0,1
142,escape from the storm flickr,1,0,0,1
143,chasing sunset race against time,1,0,0,1
144,u can run but u cant hide rain raining run,1,0,0,1
145,hidden menu at the chubs grill kkfoods thechubsgrill delicious foods,1,0,0,1
146,rnd0m2,1,0,0,1
147,emptiness is loneliness and loneliness is cleanliness and cleanliness is godliness and god is empty just like me zero smashing pumkins,1,0,0,1
148,it is happening weather cloud rain weird kotakinabalu sabah flickr,1,0,0,1
149,waiting for connection shotoniphone nofilter,1,0,0,1
150,beyond,1,0,0,1
152,cloud flickr,1,0,0,1
153,sunset,1,0,0,1
155,paradise beach whitesand bluesky coconuttree sabahtourism sabahpotd flickr,1,0,0,1
156,ure still shinning even in a cloudy day tamparuli jambatan jambatantamparuli tamparulisuspensionbridge sabah sabahtourism sabahpotd flickr,1,0,0,1
157,moving version cloud lake grasses green bluesky,1,0,0,1
158,climbing stairs,1,0,0,1
160,cafe,1,0,0,1
161,not a big deal just another storm is coming weather flickr darkclouds,1,0,0,1
162,flickr,1,0,0,1
163,i have tried the most delicious tuaranmee,1,0,0,1
164,flickr red pray,1,0,0,1
165,bubbles play at beach,1,0,0,1
166,the beach,1,0,0,1
167,look left,1,0,0,1
168,on deepavali2018,1,0,0,1
169,and yes im messing around this is my dark mode at least i tried,1,0,0,1
170,upgrading 57,1,0,0,1
171,i hold lonelypillar holdon playingwithlight cylider flickr,1,0,0,1
173,behind the wheel flickr cloud menggatal behindthewheel,1,0,0,1
174,good morning world i got one more life can you see it wasting away but i got a plan do you understand here we are the rolling people cant stay for long we gotta go the verve theverve therollingpeople morning sunrise music rocknroll,1,0,0,1
175,sunrays sun underthetree shadow shotoniphone bluesky greenleaves flickr,1,0,0,1
176,corner,1,0,0,1
178,alley,1,0,0,1
179,raining night xmas coming,1,0,0,1
180,xmas again,1,0,0,1
181,no caption,1,0,0,1
182,garden city of lights weekend come and have lots of fun joke around make us feel like one super slackers now kiss my heart growing older is not my fault butterfingers,1,0,0,1
184,some people dream of success while other people wake up every morning and make it happen,1,0,0,1
185,2019,1,0,0,1
187,sunrise kotakinabalu,1,0,0,1
188,my son looking at the liondance but me looking at,1,0,0,1
189,this morning baby baby,1,0,0,1
190,same time same place same thought same view,1,0,0,1
191,everything is gonna be ok,1,0,0,1
192,today sunset w mosque ums universitymalaysiasabah kotakinabalu sabah,1,0,0,1
193,a bird out of cage,1,0,0,1
195,library kotakinabalu perpustakaan white sabah,1,0,0,1
196,perpustakaan tanjung aru perpustakaan tanjungaru kotakinabalu sabah library white,1,0,0,1
197,new landmark,1,0,0,1
198,maybe i felt hungry for me this mandy rice is best in town kkfood mandyrice delicious foodporn,1,0,0,1
199,ill wait ill wait ill keep on waiting ill wait ill wait ill wait for nothing await from no party for caodong,1,0,0,1
200,today sunset what a colourful sky hot weather,1,0,0,1
201,its so easy to see and so hard to find make a mountain of a mole hill if the mole hill is mine smooth sailing by qotsa,1,0,0,1
202,by unknown,1,0,0,1
203,on and on the days go on and on and on for what i made wrong fall this time the times are useless have you been through wonderful minds faculties of the mind by butterfingers,1,0,0,1
204,the time is coming rising like the dawn of a red sun if you fear dying then youre then youre already dead if you fear dying by one day as a lion,1,0,0,1
205,im on a roll im on a roll this time i feel my luck could change kill me sarah kill me again with love its gonna be a glorious day lucky by radiohead,1,0,0,1
206,friends and liars dont wait for me cause ill get on all by myself i put millions of miles under my heels and still too close to you i feel i am not your rolling wheels i am the highway i am not your carpet ride i am the sky i am the highway by audioslave,1,0,0,1
207,i was surrounded theres nowhere left to go i heard the wind shout beneath my feet i felt the earth shake inside of me ill run forever but i wont get far cause if i dont have you you are the wilderness by voxhaul broadcast,1,0,0,1
208,by,1,0,0,1
209,try to be different well get a different disease body and soul im a freak im a freak body and soul im a freak im a freak freak by silverchair,1,0,0,1
210,when i go driving i stay in my lane but getting cut off makes me insane i open the glove box reach inside im gonna wreck this fuckers ride i guess i got a bad habit and it aint goin away yeah bad habit by offspring,1,0,0,1
211,by,1,0,0,1
212,im older than i wish to be this town holds no more for me all my life i try to find another way i dont care for your attitude you bring me down i think youre rude all my life i try to make a better day rockin chair by oasis,1,0,0,1
213,by,1,0,0,1
214,hey monday morning see what youre missing i cant live my life like this boy i said hey little lady see what youre missing i cant get enough of your love the people by the music,1,0,0,1
215,aint no sunshine when shes gone its not warm when shes away aint no sunshine when shes gone and shes always gone too long anytime she goes away aint no sunshine by eva cassidy,1,0,0,1
216,god money ill do anything for you god money just tell me what you want me to no you cant take it no you cant take it no you cant take that away from me head like a hole by nin,1,0,0,1
217,sit back and relax tgif,1,0,0,1
218,by,1,0,0,1
219,by,1,0,0,1
220,by beyond,1,0,0,1
221,by,1,0,0,1
222,dont even know which way im going to the lights are on and i am feeling blue i hope you know which way im going to fly the rolling people by the verve,1,0,0,1
223,what ive felt what ive known sick and tired i stand alone could you be there cause im the one who waits for you or are you unforgiven too unforgiven ii by metallica,1,0,0,1
224,can you feel my world by,1,0,0,1
225,you can cry like a baby just let me do what i need to it might be to me or to you just let me do what i need to the difference between us by the dead weather,1,0,0,1
226,nothing better to do when im stuck on you and still im here trying to figure it out figure it out by the royal blood,1,0,0,1
227,i think you already know how far id go not to say you know the art isnt gone and im taking this all to the grave the lost art of keeping a secret by qotsa,1,0,0,1
228,free by beyond,1,0,0,1
230,by,1,0,0,1
231,everyone is changing theres no one left thats real to make up your own ending and let me know just how you feel cause i am lost without you i cannot live at all my whole world surrounds you i stumble then i crawl blurry by puddle of mudd,1,0,0,1
232,you dont know how you got here you just know you want out believing in yourself almost as much as you doubt youre a big smash you wear it like a rash star hold me thrill me kiss me kill me by u2,1,0,0,1
233,by,1,0,0,1
234,sincity cybercity,1,0,0,1
235,nick walking dead or resident evil,1,0,0,1
236,by,1,0,0,1
237,maybe i dont really wanna know how your garden grows cause i just wanna fly lately did you ever feel the pain in the morning rain as it soaks you to the bone live forever by oasis,1,0,0,1
238,by,1,0,0,1
239,by,1,0,0,1
240,emptiness is loneliness loneliness is cleanliness cleanliness is godliness and god is empty just like me zero by smashing pumpkins,1,0,0,1
241,thats why by,1,0,0,1
242,i dont know what to do i dont want you to move so dont move be still by the dead weather,1,0,0,1
243,blue dont forget the word i warned you oh blue dont let them push you dont let them destroy you blue by the verve,1,0,0,1
244,you know youre gonna live thru the rain all you got to keep the faith dont let your love turn to hate right now we got to keep the faith now its not too late try to hold on trying to hold on keep the faith by bon jovi,1,0,0,1
245,in bloom,1,0,0,1
246,by,1,0,0,1
247,im not a slave to a world that doesnt give a shit when we were good you just closed your eyes so when we are bad well scar your minds the fight song by marilyn manson,1,0,0,1
248,wish all happy new year 2020,1,0,0,1
249,it has to start somewhere it has to start sometime what better place than here what better time than now guerrilla radio by ratm,1,0,0,1
250,by,1,0,0,1
251,you think im crazy its just the real me by jan curious,1,0,0,1
252,swipe heaven earth,1,0,0,1
255,i cant help you fix yourself but at least i can say i tried im sorry but i gotta move on with my own life scars by papa roach,1,0,0,1
256,by,1,0,0,1
257,say cheese by my astro,1,0,0,1
259,need a little time to wake up need a little time to rest your mind you know you should so i guess you might as well morning glory by oasis,1,0,0,1
260,hey megalomaniac youre no jesus yeah youre no fxcking elvis special as you know yourself just step down megalomaniac by incubus,1,0,0,1
261,anytime you feel the pain hey jude refrain dont carry the world upon your shoulders hey jude metal cover by leo moracchioli,1,0,0,1
262,by,1,0,0,1
264,by,1,0,0,1
265,how if 28 days later,1,0,0,1
266,day47 x iphone8,1,0,0,1
268,by,1,0,0,1
269,blackouttuesday blacklivesmatter,1,0,0,1
270,by 5,1,0,0,1
271,by,1,0,0,1
272,im nobody,1,0,0,1
274,by,1,0,0,1
275,love is a special form were wasting the feeling i feel i wish you were here with me now in a lonely place by bush,1,0,0,1
276,damn my situation and the games i have to play with all the things caught in my mind damn my education i cant find the words to say about all the things caught in my mind i need more time just to make things right dont go away by oasis,1,0,0,1
277,made a meal and threw it up on sunday ive got a lot of things to learn said i would and ill be leaving one day before my heart starts to burn stand by me by oasis,1,0,0,1
278,by,1,0,0,1
279,im older than i wish to be this town holds no more for me all my life i try to find another way i dont care for your attitude you bring me down i think youre rude all my life i try to make a better day rockin chair by oasis,1,0,0,1
280,and though the night seems long your tears wont fall forever it wont rain all the time the sky wont fall forever it cant rain all the time by jane siberry,1,0,0,1
281,im coming home im coming home tell the world im coming home,1,0,0,1
282,i thought im feeling sober and im getting older im like a candle in the dark so i could see it very far i wont be long sober by butterfingers,1,0,0,1
283,i dont know what it is that makes me feel alive i dont know how to wake the things that sleep inside i only wanna see the light that shines behind your eyes acquiesce by oasis,1,0,0,1
284,they say kk is in top 10 beautiful sunset on earth what do u think shotoniphone luckyguy,1,0,0,1
285,colour tone inspired by godzilla vs kong,1,0,0,1
286,beer iphonesia,1,1,0,0
287,iphonesia sunset beach summer17,1,1,0,0
288,tong xt1,1,1,0,0
289,xt1,1,1,0,0
290,xt1 beach sea blue sky,1,1,0,0
292,iphonesia goldengatebridge rainnyday bridge,1,1,0,0
293,xt1 tree rice,1,1,0,0
294,magic hour xt1 sunset see germany,1,1,0,0
295,xt1,1,1,0,0
296,xt1,1,1,0,0
297,iphonesia,1,1,0,0
298,iphonesia train taiwan,1,1,0,0
299,iphonesia sunset,1,1,0,0
300,train iphonesia,1,1,0,0
301,blue iphoneasia skyeline,1,1,0,0
302,skyeline iphoneasia cloud,1,1,0,0
303,iphoneisa train station,1,1,0,0
304,iphoneisa train station,1,1,0,0
305,iphoneisa todupudding delicious,1,1,0,0
306,iphoneisa kid stroller rain socks,1,1,0,0
307,iphoneisa mrt,1,1,0,0
308,iphoneisa sunset cloud river,1,1,0,0
309,xs iphoneisa metro asia shanghai,1,1,0,0
310,traditional market xs iphoneisa market chicken,1,1,0,0
311,iphoneisa aboriginal jelly,1,1,0,0
312,iphoneisa sunset,1,1,0,0
313,spectacular view always let you forget exhausted long air journey iphoneisa fly air view,1,1,0,0
314,shotwithhalide iphoneisa airplane sky blue,1,1,0,0
315,iphoneisa mrt rush hours,1,1,0,0
316,iphoeisa taipei101 blue sky skyline,1,1,0,0
